Project_Code,Skill,Emp_ID_Count,Date
02A,JS_HTML_CSS_Java,1,8/24/2020
02A,Manual Testing,95,8/24/2020
02A,Mirth,1,8/24/2020
02A,Netezza,1,8/24/2020
02A,Others,2,8/24/2020
02A,Performance Testing,5,8/24/2020
02A,Sales,1,8/24/2020
02A,Scrum Master,2,8/24/2020
02A,Security Testing,8,8/24/2020
02A,Selenium,2,8/24/2020
02A,Selenium Java,4,8/24/2020
02B,.Net,4,8/24/2020
02B,Automation Testing,1,8/24/2020
02B,CRM,1,8/24/2020
02B,DB2,1,8/24/2020
02B,Java,1,8/24/2020
02B,Manual Testing,8,8/24/2020
02B,SSIS,1,8/24/2020
03A,.Net,2,8/24/2020
03A,AS400,1,8/24/2020
03A,AWS DevOps,1,8/24/2020
03A,Azure,5,8/24/2020
03A,SSIS and ETL,1,8/24/2020
03A,Database Technologies,2,8/24/2020
03A,Database Testing,1,8/24/2020
03A,Datastage,3,8/24/2020
03A,Hadoop,2,8/24/2020
03A,Business Analyst,4,8/24/2020
03A,Linux,1,8/24/2020
03A,Microstrategy,4,8/24/2020
03A,Oracle DBA,2,8/24/2020
03A,Others,3,8/24/2020
03A,SQL,11,8/24/2020
03A,SQL Server DBA,8,8/24/2020
03A,SSAS,4,8/24/2020
03A,SSIS,26,8/24/2020
03A,SSRS,6,8/24/2020
03A,Tableau,6,8/24/2020
03A,Technical Management,1,8/24/2020
03A,UX,1,8/24/2020
03B,.Net,3,8/24/2020
03B,Database Testing,2,8/24/2020
03B,EDI,2,8/24/2020
03B,Hadoop,1,8/24/2020
03B,Business Analyst,6,8/24/2020
03B,HL7,3,8/24/2020
03B,Manual Testing,3,8/24/2020
03B,Others,4,8/24/2020
03B,SQL,8,8/24/2020
03B,SQL Server DBA,3,8/24/2020
03B,SSAS,1,8/24/2020
03B,SSIS,2,8/24/2020
03B,SSRS,1,8/24/2020
04A,EDI,3,8/24/2020
04A,Others,1,8/24/2020
05A,.Net,7,8/24/2020
05A,AS400,1,8/24/2020
05A,Database Testing,1,8/24/2020
05A,EDI,1,8/24/2020
05A,HL7,2,8/24/2020
05A,Informatica,1,8/24/2020
05A,Manual Testing,9,8/24/2020
05A,Oracle forms,1,8/24/2020
05A,Others,2,8/24/2020
05A,Security Testing,1,8/24/2020
05A,SQL,4,8/24/2020
05A,SSAS,1,8/24/2020
05A,SSIS,2,8/24/2020
05B,SSIS,1,8/24/2020
06A,.Net,101,8/24/2020
06A,Classic ASP,1,8/24/2020
06A,Data Science,1,8/24/2020
06A,Fullstack .NET,2,8/24/2020
06A,Business Analyst,2,8/24/2020
06A,HL7,1,8/24/2020
06A,Java,3,8/24/2020
06A,JS_HTML_CSS_.Net,9,8/24/2020
06A,Manual Testing,22,8/24/2020
06A,Others,1,8/24/2020
06A,Scrum Master,2,8/24/2020
06A,SQL,2,8/24/2020
06A,SSIS,1,8/24/2020
06A,Tableau,1,8/24/2020
06A,Technical Management,1,8/24/2020
06B,.Net,18,8/24/2020
06B,Database Testing,1,8/24/2020
06B,Business Analyst,2,8/24/2020
06B,HL7,1,8/24/2020
06B,JS_HTML_CSS_.Net,2,8/24/2020
06B,Sales,1,8/24/2020
06B,Selenium .NET,4,8/24/2020
06B,Selenium Java,2,8/24/2020
07A,.Net,7,8/24/2020
07A,JS_HTML_CSS_.Net,1,8/24/2020
07A,Sales,1,8/24/2020
07A,SQL,1,8/24/2020
08A,.Net,5,8/24/2020
09A,.Net,1,8/24/2020
09A,Database Technologies,1,8/24/2020
09A,Java,2,8/24/2020
09A,JS_HTML_CSS_Java,1,8/24/2020
09A,SQL,1,8/24/2020
10A,.Net,30,8/24/2020
10A,DevOps,3,8/24/2020
10A,Greenplum,1,8/24/2020
10A,HL7,1,8/24/2020
10A,Java,7,8/24/2020
10A,JS_HTML_CSS_.Net,2,8/24/2020
10A,JS_HTML_CSS_Java,2,8/24/2020
10A,Manual Testing,7,8/24/2020
10A,Oracle forms,1,8/24/2020
10A,Others,1,8/24/2020
10A,SQL,1,8/24/2020
10A,SSAS,1,8/24/2020
11A,.Net,14,8/24/2020
11A,AS400,1,8/24/2020
11A,Datastage,3,8/24/2020
11A,DevOps,2,8/24/2020
11A,EDI,7,8/24/2020
11A,Business Analyst,7,8/24/2020
11A,HL7,1,8/24/2020
11A,JS_HTML_CSS_.Net,3,8/24/2020
11A,Manual Testing,8,8/24/2020
11A,Others,2,8/24/2020
11A,Performance Testing,7,8/24/2020
11A,Security Testing,3,8/24/2020
11A,Selenium .NET,1,8/24/2020
11A,Selenium Java,3,8/24/2020
11A,SQL,5,8/24/2020
11A,SSIS,1,8/24/2020
11A,Technical Management,1,8/24/2020
11A,UX,3,8/24/2020
11B,.Net,4,8/24/2020
11B,DB2,1,8/24/2020
11B,EDI,3,8/24/2020
11B,Business Analyst,10,8/24/2020
11B,Java,1,8/24/2020
11B,Oracle DBA,1,8/24/2020
11B,SQL,6,8/24/2020
11B,SSAS,1,8/24/2020
12A,.Net,12,8/24/2020
12A,Classic ASP,1,8/24/2020
12A,Fullstack Java,1,8/24/2020
12A,Business Analyst,1,8/24/2020
12A,Java,4,8/24/2020
12A,JS_HTML_CSS_Java,1,8/24/2020
12A,Manual Testing,10,8/24/2020
12A,Selenium,1,8/24/2020
12A,Selenium Java,2,8/24/2020
14A,Database Testing,5,8/24/2020
14A,Hadoop,24,8/24/2020
14A,Business Analyst,1,8/24/2020
14A,Java,4,8/24/2020
14A,JS_HTML_CSS_Java,1,8/24/2020
14A,Linux,1,8/24/2020
14A,Manual Testing,4,8/24/2020
14A,Oracle DBA,1,8/24/2020
14A,Scrum Master,1,8/24/2020
14A,Selenium Java,1,8/24/2020
14A,SSIS,2,8/24/2020
14A,Systems and Networking,1,8/24/2020
14A,Tableau,2,8/24/2020
14B,Hadoop,4,8/24/2020
14B,Java,2,8/24/2020
14B,Manual Testing,1,8/24/2020
14B,SQL,1,8/24/2020
14B,SSIS,1,8/24/2020
15A,.Net,6,8/24/2020
15A,Datastage,2,8/24/2020
15A,DevOps,1,8/24/2020
15A,JS_HTML_CSS_.Net,1,8/24/2020
15A,Manual Testing,6,8/24/2020
15A,Selenium,4,8/24/2020
15A,Selenium Java,14,8/24/2020
15B,.Net,2,8/24/2020
15B,Manual Testing,1,8/24/2020
15B,Selenium Java,1,8/24/2020
16A,.Net,10,8/24/2020
16A,Fullstack .NET,1,8/24/2020
16A,Business Analyst,1,8/24/2020
16A,JS_HTML_CSS_.Net,1,8/24/2020
16A,Manual Testing,16,8/24/2020
16A,Selenium Java,3,8/24/2020
16B,.Net,7,8/24/2020
16B,Fullstack .NET,1,8/24/2020
16B,Business Analyst,1,8/24/2020
16B,JS_HTML_CSS_.Net,1,8/24/2020
16B,Manual Testing,1,8/24/2020
17A,.Net,3,8/24/2020
17A,Business Analyst,1,8/24/2020
17A,Java,3,8/24/2020
17A,JS_HTML_CSS_Java,1,8/24/2020
17A,Manual Testing,5,8/24/2020
17A,Scrum Master,1,8/24/2020
18A,Azure DevOps,1,8/24/2020
18A,DevOps,4,8/24/2020
18A,Manual Testing,3,8/24/2020
18A,Performance Testing,9,8/24/2020
18A,Security Testing,4,8/24/2020
18A,Selenium,1,8/24/2020
18A,Selenium .NET,1,8/24/2020
18A,Selenium Java,4,8/24/2020
19A,.Net,2,8/24/2020
19A,EDI,4,8/24/2020
19A,Business Analyst,2,8/24/2020
19A,HL7,2,8/24/2020
19A,Manual Testing,4,8/24/2020
19A,Oracle forms,1,8/24/2020
19A,SQL,5,8/24/2020
19A,SSAS,1,8/24/2020
19A,SSIS,3,8/24/2020
19A,SSRS,1,8/24/2020
20A,.Net,17,8/24/2020
20A,Database Testing,1,8/24/2020
20A,Fullstack .NET,1,8/24/2020
20A,Business Analyst,5,8/24/2020
20A,Manual Testing,14,8/24/2020
20A,Others,1,8/24/2020
01B,Netezza,1,8/24/2020
1,.Net,3,8/24/2020
01A,HL7,15,8/24/2020
01A,Mirth,2,8/24/2020
01B,HL7,2,8/24/2020
